epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2001,1.23789,2.30526,1.42571,0.55258,0.39872,0.4429,0.25822,1.12137,2.13501,1.64046,0.000663537,0.000663537,0.000663537
2,53.8968,1.38173,1.97364,1.52999,0.50748,0.53205,0.50347,0.28303,1.49678,1.78364,1.91107,0.00130387,0.00130387,0.00130387
3,78.048,1.43138,1.85457,1.57072,0.5435,0.49956,0.52989,0.27874,1.34325,2.11461,1.79426,0.00191779,0.00191779,0.00191779
4,102.017,1.42028,1.7872,1.56768,0.6106,0.74194,0.61181,0.41134,1.22282,1.43716,1.65494,0.0018812,0.0018812,0.0018812
5,126.22,1.38107,1.71646,1.53724,0.53909,0.64516,0.59094,0.40102,1.08097,1.44517,1.51705,0.0018416,0.0018416,0.0018416
6,150.188,1.36093,1.64789,1.52596,0.68675,0.70968,0.72311,0.48549,1.02895,1.35076,1.45764,0.001802,0.001802,0.001802
7,174.262,1.31962,1.61236,1.48594,0.80355,0.64516,0.7187,0.45643,1.16572,1.23705,1.57314,0.0017624,0.0017624,0.0017624
8,198.649,1.3001,1.59337,1.48285,0.92831,0.51613,0.73284,0.5434,0.97513,1.27881,1.40365,0.0017228,0.0017228,0.0017228
9,223.399,1.27513,1.56769,1.46545,0.69974,0.60169,0.68673,0.48822,0.99724,1.34878,1.39794,0.0016832,0.0016832,0.0016832
10,248.713,1.27507,1.51206,1.45179,0.81397,0.58065,0.67022,0.49752,0.92596,1.39247,1.39147,0.0016436,0.0016436,0.0016436
11,274.006,1.24943,1.46954,1.43765,0.74461,0.67742,0.73235,0.53224,0.99772,1.11001,1.42648,0.001604,0.001604,0.001604
12,299.173,1.24739,1.49764,1.43835,0.6353,0.70968,0.75692,0.50492,1.23717,1.17604,1.61145,0.0015644,0.0015644,0.0015644
13,323.854,1.2356,1.46509,1.43272,0.72418,0.6129,0.729,0.50374,1.01668,1.18235,1.37491,0.0015248,0.0015248,0.0015248
14,348.491,1.2194,1.44362,1.40635,0.61956,0.77419,0.80461,0.61532,0.88032,0.9856,1.32532,0.0014852,0.0014852,0.0014852
15,373.142,1.21254,1.41176,1.4022,0.84387,0.51613,0.68158,0.50327,0.91865,1.20227,1.35393,0.0014456,0.0014456,0.0014456
16,397.808,1.18018,1.37904,1.39555,0.7725,0.67742,0.7261,0.54733,0.9767,1.06123,1.38118,0.001406,0.001406,0.001406
17,422.367,1.17937,1.39288,1.39618,0.7297,0.69694,0.76351,0.58652,0.87836,1.02651,1.31212,0.0013664,0.0013664,0.0013664
18,446.725,1.17346,1.36889,1.39232,0.70032,0.60333,0.72881,0.56441,0.89896,1.19725,1.347,0.0013268,0.0013268,0.0013268
19,471.077,1.17164,1.3722,1.38156,0.72228,0.67135,0.74469,0.52819,0.91927,1.10166,1.27208,0.0012872,0.0012872,0.0012872
20,495.492,1.15364,1.33069,1.37352,0.81831,0.64516,0.80927,0.62254,0.92026,0.95313,1.36163,0.0012476,0.0012476,0.0012476
21,519.914,1.1471,1.3246,1.36549,0.67527,0.74194,0.79607,0.57165,0.98238,1.0571,1.34809,0.001208,0.001208,0.001208
22,544.172,1.137,1.29775,1.35648,0.77245,0.67742,0.78053,0.58775,0.8491,1.01016,1.30469,0.0011684,0.0011684,0.0011684
23,568.223,1.12903,1.31017,1.35018,0.86712,0.63184,0.78608,0.59496,0.83771,0.97789,1.27263,0.0011288,0.0011288,0.0011288
24,592.338,1.10685,1.25301,1.33739,0.78326,0.69969,0.76189,0.57312,0.86196,1.12834,1.26552,0.0010892,0.0010892,0.0010892
25,616.363,1.12279,1.2584,1.34859,0.83676,0.66176,0.78243,0.61283,0.83018,0.97911,1.25422,0.0010496,0.0010496,0.0010496
26,640.411,1.10414,1.24343,1.33855,0.80943,0.74194,0.81177,0.62776,0.84739,0.97395,1.26162,0.00101,0.00101,0.00101
27,664.462,1.09311,1.24717,1.32979,0.85871,0.67742,0.82097,0.6294,0.80709,0.9087,1.28095,0.0009704,0.0009704,0.0009704
28,688.527,1.10567,1.26159,1.32841,0.7665,0.74128,0.83396,0.63341,0.87687,0.88575,1.27627,0.0009308,0.0009308,0.0009308
29,712.618,1.08172,1.21326,1.3186,0.72679,0.68672,0.74072,0.56203,0.82258,1.06295,1.25031,0.0008912,0.0008912,0.0008912
30,736.79,1.08529,1.22009,1.32273,0.77296,0.74194,0.82349,0.63745,0.84786,0.86453,1.28478,0.0008516,0.0008516,0.0008516
31,760.826,1.07923,1.2091,1.31518,0.90386,0.60678,0.78012,0.58767,0.90613,0.90594,1.27462,0.000812,0.000812,0.000812
32,784.902,1.07907,1.19918,1.31607,0.83187,0.70968,0.79156,0.62536,0.83526,0.87557,1.23618,0.0007724,0.0007724,0.0007724
33,808.931,1.06212,1.17867,1.29549,0.90754,0.63363,0.80125,0.6208,0.81064,0.93334,1.23877,0.0007328,0.0007328,0.0007328
34,833.008,1.04439,1.16173,1.29985,0.77693,0.80645,0.81898,0.66427,0.77311,0.89613,1.20396,0.0006932,0.0006932,0.0006932
35,856.765,1.05322,1.14805,1.29872,0.75629,0.70968,0.77952,0.59426,0.89585,0.90144,1.27763,0.0006536,0.0006536,0.0006536
36,880.302,1.03415,1.15412,1.28888,0.90844,0.64033,0.84092,0.62029,0.88129,0.88844,1.28914,0.000614,0.000614,0.000614
37,903.83,1.04022,1.13822,1.29282,0.865,0.64516,0.83342,0.62968,0.88475,0.90108,1.29927,0.0005744,0.0005744,0.0005744
38,927.398,1.01675,1.11782,1.28514,0.86685,0.70968,0.79906,0.61043,0.8389,0.8701,1.25119,0.0005348,0.0005348,0.0005348
39,950.964,1.02951,1.11485,1.28722,0.71782,0.65673,0.77247,0.59093,0.85044,0.90742,1.2876,0.0004952,0.0004952,0.0004952
40,974.47,1.01994,1.11428,1.27509,0.79859,0.6397,0.78659,0.58475,0.93749,0.92871,1.35607,0.0004556,0.0004556,0.0004556
