epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0185,1.36059,4.52558,1.56988,0.33861,0.6129,0.41355,0.18967,1.82552,1.99783,2.0743,0.000663537,0.000663537,0.000663537
2,79.062,1.52834,1.98492,1.66757,0.63442,0.3871,0.37821,0.205,1.68388,2.00458,2.06127,0.00130387,0.00130387,0.00130387
3,115.637,1.51723,1.89684,1.65335,0.41306,0.45161,0.37693,0.20178,1.52149,1.91287,1.97005,0.00191779,0.00191779,0.00191779
4,151.832,1.47697,1.83055,1.6336,0.43106,0.54839,0.42846,0.28652,1.35265,1.88122,1.69399,0.0018812,0.0018812,0.0018812
5,188.197,1.42307,1.75665,1.58032,0.52212,0.64516,0.60069,0.42384,1.11152,1.44535,1.49672,0.0018416,0.0018416,0.0018416
6,224.669,1.39914,1.67879,1.56274,0.66521,0.57698,0.61206,0.40102,1.16137,1.55388,1.58144,0.001802,0.001802,0.001802
7,260.909,1.34316,1.64779,1.52803,0.70248,0.64516,0.69774,0.48071,1.06034,1.40256,1.56719,0.0017624,0.0017624,0.0017624
8,297.308,1.33123,1.62764,1.52647,0.83676,0.66174,0.80568,0.58942,1.04869,1.06511,1.51181,0.0017228,0.0017228,0.0017228
9,333.805,1.29277,1.57972,1.49148,0.73856,0.64516,0.73625,0.53734,1.03973,1.22784,1.42553,0.0016832,0.0016832,0.0016832
10,370.181,1.2952,1.5289,1.47377,0.82831,0.6129,0.72094,0.52819,0.91019,1.14296,1.40308,0.0016436,0.0016436,0.0016436
11,406.628,1.26882,1.4965,1.45717,0.83088,0.58065,0.73953,0.51077,1.06653,1.18788,1.43555,0.001604,0.001604,0.001604
12,443.019,1.27787,1.50861,1.46504,0.76933,0.64553,0.75365,0.52402,1.08488,1.13697,1.5514,0.0015644,0.0015644,0.0015644
13,479.382,1.25109,1.46602,1.4622,0.80281,0.70968,0.82146,0.60131,1.06503,1.08033,1.47672,0.0015248,0.0015248,0.0015248
14,515.849,1.21988,1.45259,1.42052,0.76116,0.67742,0.83368,0.60543,1.00888,0.98779,1.41986,0.0014852,0.0014852,0.0014852
15,552.333,1.22435,1.44042,1.42025,0.74927,0.6129,0.74624,0.5433,1.03556,1.0977,1.44608,0.0014456,0.0014456,0.0014456
16,588.686,1.18421,1.40163,1.40773,0.88824,0.70968,0.83367,0.64607,0.92085,0.97445,1.35544,0.001406,0.001406,0.001406
17,625.195,1.1802,1.38003,1.39603,0.87463,0.6129,0.77287,0.57128,0.94071,1.05526,1.33891,0.0013664,0.0013664,0.0013664
18,661.591,1.1864,1.36991,1.40083,0.84895,0.64516,0.79576,0.5929,0.93948,1.06661,1.36719,0.0013268,0.0013268,0.0013268
19,697.964,1.17391,1.37323,1.39088,0.85362,0.70968,0.83913,0.65163,0.81229,0.90498,1.27388,0.0012872,0.0012872,0.0012872
20,734.531,1.16302,1.32977,1.38385,0.79236,0.61559,0.78618,0.57354,1.03965,1.03859,1.42272,0.0012476,0.0012476,0.0012476
21,770.928,1.14167,1.32263,1.37376,0.80369,0.79266,0.81767,0.63106,0.92479,0.95662,1.36665,0.001208,0.001208,0.001208
22,807.359,1.13616,1.2977,1.37296,0.68564,0.77392,0.78486,0.57891,0.93528,1.05559,1.37269,0.0011684,0.0011684,0.0011684
23,844.369,1.13592,1.30795,1.36511,0.90771,0.63485,0.77299,0.61989,0.82276,1.01099,1.26023,0.0011288,0.0011288,0.0011288
24,880.842,1.11309,1.25627,1.34607,0.77443,0.66479,0.74388,0.58681,0.80887,1.00665,1.2698,0.0010892,0.0010892,0.0010892
25,917.312,1.1216,1.25614,1.3594,0.84082,0.68172,0.81377,0.64671,0.81361,0.91821,1.28422,0.0010496,0.0010496,0.0010496
26,953.75,1.09987,1.23397,1.33885,0.76993,0.64781,0.75209,0.60737,0.81141,0.99723,1.26875,0.00101,0.00101,0.00101
27,990.163,1.0996,1.24677,1.33225,0.88841,0.77057,0.78908,0.61448,0.81892,0.93848,1.29679,0.0009704,0.0009704,0.0009704
28,1026.63,1.09784,1.24756,1.33701,0.8114,0.6129,0.7973,0.60048,0.91747,0.99548,1.38546,0.0009308,0.0009308,0.0009308
29,1063.08,1.08034,1.21416,1.32603,0.73916,0.83871,0.78431,0.61036,0.8714,0.97004,1.29978,0.0008912,0.0008912,0.0008912
30,1099.53,1.07504,1.20279,1.32362,0.83794,0.70968,0.81174,0.60202,0.90442,0.96223,1.30503,0.0008516,0.0008516,0.0008516
31,1136,1.07532,1.19541,1.3184,0.75417,0.74194,0.80722,0.62468,0.82668,0.91812,1.26004,0.000812,0.000812,0.000812
32,1172.48,1.06798,1.18216,1.32076,0.81897,0.67742,0.82681,0.67359,0.81903,0.92275,1.25277,0.0007724,0.0007724,0.0007724
33,1209.08,1.04921,1.17419,1.29737,0.88795,0.70968,0.83075,0.65082,0.83453,0.87033,1.26631,0.0007328,0.0007328,0.0007328
34,1245.61,1.03939,1.14386,1.30295,0.90499,0.64516,0.81862,0.60883,0.88786,0.88103,1.30188,0.0006932,0.0006932,0.0006932
35,1282.12,1.03227,1.12166,1.28819,0.83214,0.63986,0.79965,0.63047,0.86554,0.94452,1.29439,0.0006536,0.0006536,0.0006536
36,1318.63,1.0216,1.11866,1.28272,0.83041,0.6129,0.79046,0.61175,0.87707,0.94654,1.30473,0.000614,0.000614,0.000614
37,1355.14,1.02283,1.11114,1.29294,0.85495,0.76084,0.85772,0.58686,0.97224,0.89258,1.38838,0.0005744,0.0005744,0.0005744
38,1391.67,1.00811,1.09092,1.28806,0.85722,0.67742,0.80395,0.60377,0.86467,0.883,1.29863,0.0005348,0.0005348,0.0005348
39,1428.14,1.0156,1.07948,1.28538,0.68974,0.78908,0.80622,0.57879,0.93145,0.95533,1.32415,0.0004952,0.0004952,0.0004952
40,1464.61,1.00748,1.09121,1.27259,0.938,0.58065,0.81725,0.61399,0.965,0.90405,1.38455,0.0004556,0.0004556,0.0004556
41,1524.76,1.00294,1.06872,1.30791,0.78241,0.74194,0.83717,0.62828,0.95298,0.9538,1.34983,0.000416,0.000416,0.000416
42,1560.99,0.96135,1.01088,1.27887,0.77728,0.77419,0.84195,0.62274,0.95309,0.84837,1.33727,0.0003764,0.0003764,0.0003764
43,1598.27,0.94867,0.99034,1.28219,0.8073,0.67576,0.82314,0.62292,0.952,0.86277,1.35009,0.0003368,0.0003368,0.0003368
44,1635.59,0.93656,0.96466,1.2643,0.85981,0.70968,0.8144,0.62991,0.87843,0.87648,1.30249,0.0002972,0.0002972,0.0002972
45,1672.91,0.92503,0.94617,1.26388,0.87593,0.74194,0.83413,0.64571,0.86475,0.7947,1.2927,0.0002576,0.0002576,0.0002576
46,1710.69,0.90943,0.9183,1.24896,0.68002,0.87097,0.82504,0.62619,0.89035,0.863,1.30899,0.000218,0.000218,0.000218
47,1748.07,0.89781,0.88666,1.23942,0.78455,0.77419,0.8127,0.61295,0.94999,0.88566,1.33309,0.0001784,0.0001784,0.0001784
